driver close,C7 (Doors),52,41,03,21,22,4F,,,,,
driver open,C7 (Doors),52,41,03,A1,22,86,,,,,
on,3B (Rear speed),60,81,03,04,01,70,,,,,
off,3B (Rear speed),60,81,03,04,00,6D,,,,,
auto,DB (Lights),60,41,03,01,00,5B,,,,,
on,DB (Lights),60,41,03,81,00,92,,,,,
position,DB (Lights),60,41,03,84,00,F3,,,,,
off,DB (Lights),60,41,03,04,00,3A,,,,,
on,695,00,00,07,01,00,01,00,00,00,00,
,441 (fan_rotary),00,00,05,82,01,00,00,00,,,
,,,,,,,,,,,,
fan a fond,441 (fan_rotary),00,00,05,82,01,00,C0,00,,,
driver open,C7 (Doors),52,41,02,A1,22,8,,,,,
driver closed,C7 (Doors),52,41,02,21,22,4,,,,,
